ID,age,residence,universityCollege,academicYear,inpersonRemote,credits,fulltimeParttime,gender,,housingSatisfaction,shareResidence,liveWithOthersWho,preferLivingAloneOrNo,liveWithHowMany,monthlyRent,,rentConcern,universityCostsPerSemester,,financialFreedom,,financialControl,,rentStressOccurance,,rentImpactMentalHealth,,currentWellbeingRent,,,,,supportiveOrNo,,socialHelpStressReduction,,,prioritizedPayingRentYesNo,,prioritizationExtentImpact,,rentPayingConfidence,,lastingImpactRent,,,,,,,,wellbeingScore
ID,What is your age?,What is your current residence?,Are you currently an undergraduate student at the University of Montana or Missoula College?,What academic year are you currently in?,Are you primarily an in-person student or a remote student?,How many credits are you taking this semester (Spring 2025)?,Are you enrolled as a full-time or part-time student?,Gender: How do you identify? - Selected Choice,How satisfied are you with your current housing situation?,How satisfied are you with your current housing situation? Numerical,Do you share your residence with others?,"If you live with others, who do you live with?",Do you prefer living alone or with others?,"If you live with others, how many people do you live with?",How much rent do you pay each month?,How concerned are you about being able to pay your rent each month?,How concerned are you about being able to pay your rent each month? Numerical,"As an estimate, how much do you pay in University-related costs per semester (excluding rent)?",Do you feel that you have financial freedom regarding rent?,Do you feel that you have financial freedom regarding rent? Numerical,How much control do you feel you have over your financial situation?,How much control do you feel you have over your financial situation? Numerical,How often do you experience stress related to paying rent?,How often do you experience stress related to paying rent? Numerical,To what extent does paying rent impact your mental health?,To what extent does paying rent impact your mental health? Numerical,How would you rate your current mental well-being considering your housing situation?,How would you rate your current mental well-being considering your housing situation? Numerical,How many close friends/confidants can you talk to about personal/financial concerns?,How often do you spend time with friends/peers outside of class/work?,How often do you spend time with friends/peers outside of class/work? Numerical,Do you feel you have a supportive social network for financial/housing stress?,Do you feel you have a supportive social network for financial/housing stress? Numerical,To what extent does your social support network reduce housing/financial stress?,To what extent does your social support network reduce housing/financial stress? Numerical,What strategies do you use to manage rent? (Select all that apply),How effective are these strategies in reducing rent-related stress?,Have you ever prioritized paying rent over other essential needs?,"If yes, how has this prioritization affected your mental health?","If yes, how has this prioritization affected your mental health? Numerical",How confident are you in paying rent for the rest of the academic year?,How confident are you in paying rent for the rest of the academic year? Numerical,Do you believe your current rent situation will have a lasting impact after graduation?,Do you believe your current rent situation will have a lasting impact after graduation? Numerical,"If yes, please explain how:",Have you sought mental health support due to financial/rent stress?,"If yes, how effective was this support in managing financial stress?",Is there anything else you would like to share concerning your housing situation and well-being?,HIS,SS,CFI,wellbeingScore
1,Older than 23 years,Rented apartment (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),12-Jul,Full-time student,Non-binary,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Partner/Significant other,I prefer to live with others,1,$501 - $750,Moderately concerned,5,"$1 - $1,000","No, I feel very restricted",0,No control,0,Always,0,Significant impact,3,Very Low,0,45720,Several times a week,7,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance,Negotiating rent or seeking roommate changes to reduce costs,Utilizing campus or community assistance programs (e.g., food pantry, emergency funds)",Slightly effective,Yes,Extreme impact,0,Moderately confident,5,"Yes, significantly",0,I want to safely and securely move once i graduate and my rent prevents me from saving enough to do so,"Yes, from off-campus/private therapy or support services",Not effective at all,,13.75,50,25,26.88
2,18,Duniway Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live alone,1,$501 - $750,Moderately concerned,5,"$8,001 - $9,000","No, I feel very restricted",0,Little control,3,Always,0,Significant impact,3,Low,3,45659,Once a week,5,"No, I do not feel supported",0,No reduction in stress,0,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Moderately effective,Yes,Significant impact,3,Moderately confident,5,No impact,10,,"Yes, from on-campus counseling services",Moderately effective,,25,16.67,75,32.5
3,21,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),More than 19,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,3,"$1,001 - $1,250",Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Yes, I feel fully free to make spending decisions",10,Little control,3,Never,10,No impact,10,High,7,45659,Once a week,5,Unsure,5,No reduction in stress,0,"Receiving financial support from family,Relying on financial aid or scholarships",Moderately effective,No,No impact,10,Completely confident,10,No impact,10,,No,,,83.75,33.33,100,71.88
4,22,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),More than 19,Full-time student,Woman,"Very Low (Constantly worried about housing, such as rent prices or safety.)",0,Yes,"Family (parents, siblings, relatives)",I prefer to live alone,5,"More than $2,000",Extremely concerned,0,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","No, I feel very restricted",0,Moderate control,5,Often,3,Significant impact,3,Very Low,0,45720,Several times a week,7,"Somewhat, I have some supportive people",5,Slight reduction,3,"Cutting other expenses (e.g., food, entertainment)",Moderately effective,Yes,Significant impact,3,Moderately confident,5,"Yes, moderately",3,It is very difficult to save money to change your living situation when your time and energy is put toward making it through each month. This may delay plans to relocate after graduation. ,"Yes, from off-campus/private therapy or support services",Slightly effective,It is very difficult to afford to live in Missoula. I think many of us live in constant financial stress. It is difficult to be present and preform well in school when financial stress is such a big concern in my life. ,17.5,50,40,31.75
5,21,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,$501 - $750,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Little control,3,Sometimes,5,Moderate impact,5,Average,5,45720,Daily,10,"Yes, definitely",10,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment)",Slightly effective,No,,10,Completely confident,10,"Yes, moderately",3,Both spending money that would have made up the majority of my savings and paying off student loans I have to help pay rent. ,No,,,62.5,83.33,65,69.25
6,21,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),12-Jul,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live alone,3,$501 - $750,Slightly concerned,7,"$2,001 - $3,000","Somewhat, I have limited freedom",5,Moderate control,5,Rarely,7,Slight impact,7,Average,5,45783,Several times a week,7,"Yes, definitely",10,Slight reduction,3,Receiving financial support from family,Extremely effective,No,,10,Completely confident,10,No impact,10,,No,,,66.25,66.67,100,73.13
7,22,Rented apartment (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live alone,2,$501 - $750,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Moderate control,5,Rarely,7,Slight impact,7,Average,5,0,Several times a week,7,"Yes, definitely",10,Slight reduction,3,"Receiving financial support from family,Cutting other expenses (e.g., food, entertainment)",Slightly effective,No,No impact,10,Very confident,7,No impact,10,,No,Not effective at all,,70,66.67,85,72
8,22,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),12-Jul,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live with others,3,$501 - $750,Moderately concerned,5,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Moderate control,5,Often,3,Significant impact,3,Average,5,45720,Once a week,5,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs",Moderately effective,Yes,Moderate impact,5,Moderately confident,5,"Yes, moderately",3,"I plan to move in the summer so having just enough or maybe a little extra to pay rent will be stressful when trying to put down a new security deposit, pay moving fees, etc.","Yes, from both on-campus and off-campus resources",Moderately effective,,42.5,73.33,40,51.25
9,22,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),12-Jul,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,"$751 - $1,000",Moderately concerned,5,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Significant impact,3,High,7,45659,Once a week,5,"Yes, definitely",10,Moderate reduction,5,"Receiving financial support from family,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Moderately effective,No,No impact,10,Very confident,7,No impact,10,,No,Not effective at all,,58.75,66.67,85,66.38
