ID,age,residence,universityCollege,academicYear,inpersonRemote,credits,fulltimeParttime,gender,housingSatisfaction,shareResidence,liveWithOthersWho,preferLivingAloneOrNo,liveWithHowMany,monthlyRent,rentConcern,universityCostsPerSemester,financialFreedom,financialControl,rentStressOccurance,rentImpactMentalHealth,currentWellbeingRent,supportiveOrNo,socialHelpStressReduction,prioritizedPayingRentYesNo,prioritizationExtentImpact,rentPayingConfidence,lastingImpactRent,mentalHealth,mentalHealthEffectiveness,,,,,,HFS,SS,CFI,wellbeingScore,,
ID,What is your age?,What is your current residence?,Are you currently an undergraduate student at the University of Montana or Missoula College?,What academic year are you currently in?,Are you primarily an in-person student or a remote student?,How many credits are you taking this semester (Spring 2025)?,Are you enrolled as a full-time or part-time student?,Gender: How do you identify? - Selected Choice,How satisfied are you with your current housing situation?,Do you share your residence with others?,"If you live with others, who do you live with?",Do you prefer living alone or with others?,"If you live with others, how many people do you live with?",How much rent do you pay each month?,How concerned are you about being able to pay your rent each month?,"As an estimate, how much do you pay in University-related costs per semester (excluding rent)?",Do you feel that you have financial freedom regarding rent?,How much control do you feel you have over your financial situation?,How 3 do you experience stress related to paying rent?,To what extent does paying rent impact your mental health?,How would you rate your current mental well-being considering your housing situation?,Do you feel you have a supportive social network for financial/housing stress?,To what extent does your social support network reduce housing/financial stress?,Have you ever prioritized paying rent over other essential needs?,"If yes, how has this prioritization affected your mental health?",How confident are you in paying rent for the rest of the academic year?,Do you believe your current rent situation will have a lasting impact after graduation?,Have you sought mental health support due to financial/rent stress?,"If yes, how effective was this support in managing financial stress?",,,,,,,,,,,WBS = HFS(.5) + SS(.3) + CFI(.2)
1,Older than 23 years,Rented apartment (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),7-12,Full-time student,Non-binary,3,Yes,Partner/Significant other,I prefer to live with others,1,$501 - $750,5,"$1 - $1,000",0,0,0,0,Very Low,5,3,Yes,0,5,3,"Yes, from off-campus/private therapy or support services",Not effective at all,,,,,,11.43,40,40,25.71,,
2,18,Duniway Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Woman,3,Yes,Roommates,I prefer to live alone,1,$501 - $750,5,"$8,001 - $9,000",0,3,0,0,Low,0,0,Yes,0,5,10,"Yes, from on-campus counseling services",Moderately effective,,,,,,15.71,0,75,22.86,,
3,21,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),19+,Full-time student,Woman,7,Yes,Roommates,I prefer to live with others,3,"$1,001 - $1,250",10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)",10,3,10,10,High,5,0,No,10,10,10,No,,,,,,,85.71,25,100,70.36,,
4,22,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),19+,Full-time student,Woman,0,Yes,"Family (parents, siblings, relatives)",I prefer to live alone,5,"More than $2,000",0,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)",0,5,3,0,Very Low,5,3,Yes,0,5,5,"Yes, from off-campus/private therapy or support services",Slightly effective,,,,,,11.43,40,50,27.71,,
5,21,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,7,Yes,Roommates,I prefer to live with others,1,$501 - $750,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)",5,3,5,5,Average,10,5,No,,10,5,No,,,,,,,50,75,75,62.5,,
6,21,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),7-12,Full-time student,Woman,7,Yes,Roommates,I prefer to live alone,3,$501 - $750,7,"$2,001 - $3,000",5,5,8,8,Average,10,3,No,,10,10,No,,,,,,,57.14,65,100,68.07,,
7,22,Rented apartment (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,7,Yes,Roommates,I prefer to live alone,2,$501 - $750,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)",5,5,8,8,Average,10,3,No,10,8,10,No,Not effective at all,,,,,,75.71,65,90,75.36,,
8,22,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),7-12,Full-time student,Woman,3,Yes,Roommates,I prefer to live with others,3,$501 - $750,5,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)",5,5,3,0,Average,10,8,Yes,5,5,5,"Yes, from both on-campus and off-campus resources",Moderately effective,,,,,,37.14,90,50,55.57,,
9,22,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),7-12,Full-time student,Woman,7,Yes,Roommates,I prefer to live with others,1,"$751 - $1,000",5,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)",5,5,5,0,High,10,5,No,10,8,10,No,Not effective at all,,,,,,52.86,75,90,66.93,,
